Id,weekly_self_study_hours,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,Grade,Gender,Email
62,33,83,86,61,99,99,88,73,Good,Male,student62@gmail.com
63,2,98,65,53,64,52,96,62,Good,Female,student63@gmail.com
64,34,83,97,65,88,67,95,69,Good,Male,student64@gmail.com
65,18,91,73,99,70,63,80,78,Good,Male,student65@gmail.com
66,2,90,54,77,74,76,96,88,Good,Female,student66@gmail.com
67,27,92,86,66,69,100,71,80,Good,Female,student67@gmail.com
68,8,64,64,73,76,72,97,91,Good,Male,student68@gmail.com
69,14,90,70,85,60,81,71,88,Good,Male,student69@gmail.com
70,22,99,81,96,69,91,87,83,Good,Male,student70@gmail.com
71,15,89,66,93,81,86,88,70,Good,Male,student71@gmail.com
72,22,62,87,93,83,93,97,73,Good,Female,student72@gmail.com
73,1,61,70,69,64,59,78,80,Average,Female,student73@gmail.com
74,3,51,54,66,87,99,58,68,Average,Male,student74@gmail.com
75,20,85,100,64,68,73,81,87,Good,Female,student75@gmail.com
76,27,99,90,96,92,100,98,77,Excellent,Male,student76@gmail.com
77,24,87,63,60,90,89,99,80,Good,Female,student77@gmail.com
78,5,75,91,80,93,74,93,65,Good,Female,student78@gmail.com
79,34,88,94,80,63,68,77,64,Good,Male,student79@gmail.com
80,16,87,79,89,68,93,75,92,Good,Female,student80@gmail.com
81,3,87,67,94,92,62,58,65,Good,Female,student81@gmail.com
82,15,76,67,83,85,91,61,67,Good,Female,student82@gmail.com
83,11,60,80,61,63,95,92,75,Good,Male,student83@gmail.com
84,32,85,65,99,100,88,93,72,Excellent,Female,student84@gmail.com
85,28,73,67,70,71,65,73,87,Good,Female,student85@gmail.com
86,24,85,71,69,80,70,77,66,Good,Female,student86@gmail.com
87,9,91,76,71,72,92,67,90,Good,Male,student87@gmail.com
88,14,99,95,83,89,81,63,70,Good,Female,student88@gmail.com
89,16,93,96,68,87,69,89,100,Good,Male,student89@gmail.com
90,29,89,75,60,80,62,85,73,Good,Male,student90@gmail.com
91,14,95,78,95,73,32,65,68,Good,Female,student91@gmail.com
92,10,68,82,95,63,62,98,93,Good,Male,student92@gmail.com
93,31,98,73,73,77,87,98,83,Good,Female,student93@gmail.com
94,34,79,92,79,76,84,67,86,Good,Female,student94@gmail.com
95,3,78,79,73,96,64,93,85,Good,Female,student95@gmail.com
96,34,100,98,89,85,81,64,94,Good,Female,student96@gmail.com
97,2,86,76,84,93,76,69,91,Good,Male,student97@gmail.com
98,4,87,89,93,98,79,72,88,Good,Female,student98@gmail.com
99,28,100,93,85,61,96,83,86,Good,Male,student99@gmail.com
100,5,85,89,94,69,99,93,98,Good,Male,student100@gmail.com
101,4,87,73,98,91,79,60,77,Good,Female,student101@gmail.com
102,25,96,80,100,61,81,98,65,Good,Female,student102@gmail.com
103,29,76,87,64,74,73,90,99,Good,Female,student103@gmail.com
104,1,90,80,63,94,64,70,79,Good,Male,student104@gmail.com
105,2,65,60,100,91,87,78,99,Good,Male,student105@gmail.com
106,0,98,97,62,89,62,95,77,Good,Male,student106@gmail.com
107,16,91,80,97,89,94,95,84,Excellent,Female,student107@gmail.com
108,31,86,81,83,81,81,77,86,Good,Female,student108@gmail.com
109,4,91,93,72,61,61,87,95,Good,Male,student109@gmail.com
110,13,78,69,82,60,64,77,82,Good,Female,student110@gmail.com
111,24,76,89,89,83,89,90,64,Good,Male,student111@gmail.com
112,2,82,54,85,57,50,54,76,Average,Female,student112@gmail.com
113,4,45,85,94,76,57,93,86,Good,Female,student113@gmail.com
114,22,92,75,65,97,61,76,81,Good,Female,student114@gmail.com
115,0,43,65,91,75,64,94,100,Good,Female,student115@gmail.com
116,24,96,66,69,65,72,84,77,Good,Male,student116@gmail.com
117,1,78,71,50,55,54,97,95,Average,Female,student117@gmail.com
118,19,68,96,64,70,74,63,75,Good,Female,student118@gmail.com
119,19,93,73,94,65,60,63,93,Good,Female,student119@gmail.com
120,5,55,93,67,74,55,60,64,Average,Female,student120@gmail.com
121,13,66,90,83,80,76,90,91,Good,Female,student121@gmail.com
122,26,98,92,91,99,97,88,75,Excellent,Female,student122@gmail.com
123,41,94,94,94,89,85,86,85,Excellent,Male,student123@gmail.com
124,47,96,100,96,91,91,96,89,Excellent,Female,student124@gmail.com
125,9,69,62,82,89,81,72,71,Good,Male,student125@gmail.com
126,7,77,95,98,69,60,89,71,Good,Female,student126@gmail.com
127,3,89,67,86,87,87,68,78,Good,Female,student127@gmail.com
128,14,96,67,80,83,86,77,75,Good,Female,student128@gmail.com
129,26,82,70,80,70,96,69,86,Good,Female,student129@gmail.com
130,27,99,97,64,90,87,68,69,Good,Male,student130@gmail.com
131,25,96,73,90,85,63,84,87,Good,Female,student131@gmail.com
132,16,95,82,66,63,67,92,69,Good,Female,student132@gmail.com
133,27,90,63,69,80,99,69,79,Good,Male,student133@gmail.com
134,0,88,52,53,56,85,93,78,Good,Female,student134@gmail.com
135,3,87,62,87,96,85,90,74,Good,Male,student135@gmail.com
136,6,62,83,84,75,83,85,86,Good,Female,student136@gmail.com
137,12,85,65,60,78,81,96,76,Good,Male,student137@gmail.com
138,11,79,97,76,67,61,90,95,Good,Male,student138@gmail.com
139,23,90,94,98,96,68,82,81,Good,Male,student139@gmail.com
140,23,97,71,82,80,97,93,78,Good,Female,student140@gmail.com
141,16,88,69,87,81,77,67,93,Good,Female,student141@gmail.com
142,3,71,85,77,89,98,63,100,Good,Male,student142@gmail.com
143,29,70,99,79,96,60,97,100,Good,Male,student143@gmail.com
144,18,93,68,76,99,80,80,75,Good,Female,student144@gmail.com
145,3,92,79,81,61,86,72,88,Good,Male,student145@gmail.com
146,6,83,72,68,94,100,98,92,Good,Male,student146@gmail.com
147,2,68,97,51,93,68,58,78,Good,Female,student147@gmail.com
148,34,92,90,65,79,96,87,74,Good,Female,student148@gmail.com
149,22,69,91,82,99,94,75,74,Good,Male,student149@gmail.com
150,4,76,72,72,65,82,71,93,Good,Male,student150@gmail.com
151,3,86,92,79,73,73,61,60,Good,Female,student151@gmail.com
152,2,41,57,97,56,50,98,83,Average,Female,student152@gmail.com
153,18,91,100,84,72,84,90,82,Good,Male,student153@gmail.com
154,8,78,67,82,70,65,68,81,Good,Female,student154@gmail.com
155,33,89,73,85,84,73,81,98,Good,Male,student155@gmail.com
156,13,96,71,88,74,80,92,65,Good,Male,student156@gmail.com
157,17,66,99,85,90,76,64,95,Good,Female,student157@gmail.com
158,1,97,54,62,66,58,69,96,Average,Female,student158@gmail.com
159,3,49,64,97,61,62,72,65,Average,Male,student159@gmail.com
160,33,88,66,96,82,65,76,79,Good,Male,student160@gmail.com
161,12,92,64,77,61,76,72,87,Good,Female,student161@gmail.com
162,24,96,66,92,88,65,76,72,Good,Female,student162@gmail.com
163,33,86,88,99,79,93,97,91,Excellent,Female,student163@gmail.com
164,44,86,100,100,96,95,97,93,Excellent,Male,student164@gmail.com
165,15,88,72,96,60,90,80,88,Good,Male,student165@gmail.com
166,5,92,81,99,98,77,80,73,Good,Male,student166@gmail.com
167,5,87,76,71,65,64,81,61,Good,Male,student167@gmail.com
168,22,89,94,67,68,69,92,76,Good,Female,student168@gmail.com
169,9,97,96,66,96,71,97,66,Good,Female,student169@gmail.com
170,34,100,62,67,97,73,84,99,Good,Male,student170@gmail.com
171,34,91,98,76,99,65,98,71,Excellent,Female,student171@gmail.com
172,25,81,87,65,85,74,64,81,Good,Male,student172@gmail.com
173,31,82,66,89,76,68,83,79,Good,Male,student173@gmail.com
174,33,100,96,75,68,77,97,81,Good,Male,student174@gmail.com
175,3,65,100,80,83,57,81,81,Good,Male,student175@gmail.com
176,20,68,100,89,75,84,78,90,Good,Male,student176@gmail.com
177,15,97,92,95,75,95,90,83,Good,Female,student177@gmail.com
178,26,76,94,77,88,85,91,61,Good,Male,student178@gmail.com
179,35,91,99,94,94,95,98,89,Excellent,Male,student179@gmail.com
180,12,85,73,89,73,97,66,79,Good,Male,student180@gmail.com
181,5,68,69,86,87,72,80,93,Good,Female,student181@gmail.com
182,31,73,99,75,70,100,86,62,Good,Male,student182@gmail.com
183,28,65,90,75,96,91,93,85,Good,Male,student183@gmail.com
184,5,46,79,75,86,91,88,77,Good,Male,student184@gmail.com
185,33,92,84,85,77,81,69,95,Good,Male,student185@gmail.com
186,2,69,78,69,70,100,88,85,Good,Male,student186@gmail.com
187,9,78,99,64,99,65,84,80,Good,Female,student187@gmail.com
188,0,92,62,86,97,54,76,76,Good,Female,student188@gmail.com
189,26,70,77,91,96,100,89,67,Good,Male,student189@gmail.com
190,30,95,79,98,95,89,99,87,Excellent,Male,student190@gmail.com
191,1,99,82,93,83,92,90,60,Good,Male,student191@gmail.com
192,26,96,66,79,80,88,61,85,Good,Female,student192@gmail.com
193,2,85,90,85,74,96,71,80,Good,Female,student193@gmail.com
194,9,91,94,82,100,68,66,69,Good,Male,student194@gmail.com
195,30,85,64,93,80,82,70,94,Good,Female,student195@gmail.com
196,24,94,73,61,68,65,85,67,Good,Female,student196@gmail.com
197,21,95,69,62,87,84,83,64,Good,Male,student197@gmail.com
198,14,69,90,83,70,83,91,67,Good,Male,student198@gmail.com
199,24,95,72,94,96,91,61,94,Good,Female,student199@gmail.com
200,34,94,88,65,88,60,81,78,Good,Female,student200@gmail.com
201,34,82,81,100,81,60,79,96,Good,Male,student201@gmail.com
202,27,99,73,91,91,93,80,100,Good,Female,student202@gmail.com
203,16,85,62,84,80,37,80,71,Good,Male,student203@gmail.com
204,21,100,87,60,92,46,67,96,Good,Female,student204@gmail.com
205,1,98,95,90,81,82,86,98,Good,Male,student205@gmail.com
206,17,97,78,81,67,90,95,79,Good,Male,student206@gmail.com
207,0,99,86,68,94,97,77,92,Good,Male,student207@gmail.com
208,12,99,73,77,74,62,68,99,Good,Female,student208@gmail.com
209,22,75,83,70,71,86,95,76,Good,Male,student209@gmail.com
210,14,63,80,99,78,60,84,86,Good,Female,student210@gmail.com
211,41,96,88,90,100,94,87,96,Excellent,Female,student211@gmail.com
212,32,91,73,86,73,84,60,71,Good,Female,student212@gmail.com
213,4,52,58,60,97,93,89,68,Good,Male,student213@gmail.com
214,22,99,71,80,82,95,64,64,Good,Male,student214@gmail.com
215,17,84,62,92,74,73,98,91,Good,Male,student215@gmail.com
216,2,100,90,82,79,94,83,78,Good,Female,student216@gmail.com
217,33,82,71,93,90,90,76,97,Good,Male,student217@gmail.com
218,29,75,88,65,80,76,94,97,Good,Female,student218@gmail.com
219,27,66,71,94,72,96,70,63,Good,Male,student219@gmail.com
220,34,99,88,72,76,68,92,72,Good,Female,student220@gmail.com
221,2,99,76,94,88,75,66,84,Good,Female,student221@gmail.com
222,22,95,87,79,95,84,90,74,Good,Male,student222@gmail.com
223,33,99,61,75,68,66,90,99,Good,Male,student223@gmail.com
224,17,65,72,96,69,78,93,72,Good,Female,student224@gmail.com
225,4,85,55,74,71,66,50,99,Average,Male,student225@gmail.com
226,3,69,78,57,72,71,96,87,Good,Male,student226@gmail.com
227,3,75,76,88,65,97,83,85,Good,Male,student227@gmail.com
228,17,91,78,72,69,77,91,96,Good,Female,student228@gmail.com
229,6,92,95,61,98,89,85,80,Good,Male,student229@gmail.com
230,9,62,64,65,86,67,94,68,Good,Female,student230@gmail.com
231,35,87,91,98,94,100,87,89,Excellent,Male,student231@gmail.com
232,17,97,88,87,61,86,92,94,Good,Female,student232@gmail.com
233,7,97,92,79,88,92,99,85,Good,Female,student233@gmail.com
234,16,98,88,92,84,90,90,71,Good,Female,student234@gmail.com
235,20,96,67,88,95,82,75,84,Good,Male,student235@gmail.com
236,0,98,89,81,56,72,74,94,Good,Male,student236@gmail.com
237,27,87,82,95,81,85,84,73,Good,Male,student237@gmail.com
238,24,96,80,86,94,63,72,75,Good,Female,student238@gmail.com
239,30,82,74,77,95,81,76,91,Good,Male,student239@gmail.com
240,20,100,72,99,64,70,93,67,Good,Female,student240@gmail.com
241,27,91,81,91,76,100,92,87,Good,Female,student241@gmail.com
242,2,87,62,85,64,63,61,85,Good,Female,student242@gmail.com
243,16,75,95,84,87,78,82,86,Good,Female,student243@gmail.com
244,27,86,78,61,71,94,92,65,Good,Male,student244@gmail.com
245,24,94,62,97,96,74,68,69,Good,Male,student245@gmail.com
246,23,99,64,92,78,30,78,88,Good,Male,student246@gmail.com
247,15,84,91,94,66,78,71,93,Good,Male,student247@gmail.com
248,25,92,81,68,96,99,92,79,Good,Female,student248@gmail.com
249,32,95,84,95,72,62,80,83,Good,Female,student249@gmail.com
250,35,90,88,94,99,92,87,97,Excellent,Male,student250@gmail.com
251,3,93,100,87,66,85,96,87,Good,Male,student251@gmail.com
252,28,69,63,88,73,83,74,94,Good,Male,student252@gmail.com
253,3,97,80,80,65,91,67,84,Good,Female,student253@gmail.com
254,21,76,72,80,92,41,90,78,Good,Female,student254@gmail.com
255,35,85,85,92,86,99,86,93,Excellent,Female,student255@gmail.com
256,35,91,87,89,97,93,87,100,Excellent,Female,student256@gmail.com
257,14,82,95,92,62,73,75,93,Good,Female,student257@gmail.com
258,1,59,56,87,97,62,74,61,Good,Male,student258@gmail.com
259,0,78,71,73,51,80,84,65,Good,Female,student259@gmail.com
260,12,89,65,82,65,76,95,62,Good,Male,student260@gmail.com
261,35,86,91,92,96,90,96,90,Excellent,Male,student261@gmail.com
262,2,76,93,65,95,76,88,88,Good,Female,student262@gmail.com
263,16,79,68,63,72,81,67,67,Good,Female,student263@gmail.com
264,31,91,96,77,76,80,97,80,Good,Female,student264@gmail.com
265,4,89,66,80,77,60,88,74,Good,Male,student265@gmail.com
266,19,97,94,81,97,79,86,63,Good,Male,student266@gmail.com
267,15,100,86,74,96,80,99,76,Good,Male,student267@gmail.com
268,30,96,68,87,96,91,68,65,Good,Female,student268@gmail.com
269,17,94,64,100,71,84,92,99,Good,Male,student269@gmail.com
270,23,98,68,80,75,80,81,60,Good,Male,student270@gmail.com
271,3,53,71,98,95,94,71,77,Good,Male,student271@gmail.com
272,4,44,64,58,66,87,62,68,Average,Female,student272@gmail.com
273,25,85,70,73,95,100,70,94,Good,Female,student273@gmail.com
274,1,51,91,67,79,58,52,75,Average,Female,student274@gmail.com
275,24,90,89,82,74,67,92,82,Good,Male,student275@gmail.com
276,15,100,92,90,66,73,68,70,Good,Male,student276@gmail.com
277,1,95,73,61,91,84,92,94,Good,Male,student277@gmail.com
278,33,76,81,96,74,75,80,98,Good,Female,student278@gmail.com
279,11,71,98,96,60,90,79,72,Good,Female,student279@gmail.com
280,10,95,60,87,71,91,84,98,Good,Male,student280@gmail.com
281,15,92,88,76,93,69,75,97,Good,Female,student281@gmail.com
282,34,82,95,96,100,89,64,91,Excellent,Female,student282@gmail.com
283,30,85,94,83,76,77,81,92,Good,Male,student283@gmail.com
284,4,82,85,75,92,76,95,85,Good,Male,student284@gmail.com
285,28,98,77,94,63,69,88,100,Good,Female,student285@gmail.com
286,29,93,96,94,84,91,67,68,Good,Female,student286@gmail.com
287,30,84,97,60,100,83,88,94,Good,Female,student287@gmail.com
288,31,81,95,76,60,61,98,77,Good,Male,student288@gmail.com
289,1,62,64,84,67,78,51,62,Average,Female,student289@gmail.com
290,16,92,70,60,94,87,90,86,Good,Female,student290@gmail.com
291,18,64,93,61,61,74,94,64,Good,Female,student291@gmail.com
292,4,89,67,97,67,75,94,93,Good,Female,student292@gmail.com
293,32,99,88,84,87,36,96,86,Good,Female,student293@gmail.com
294,12,95,82,93,99,66,93,86,Good,Female,student294@gmail.com
295,5,72,92,67,100,70,94,81,Good,Female,student295@gmail.com
296,15,68,89,68,90,68,99,74,Good,Male,student296@gmail.com
297,31,92,69,78,68,70,80,73,Good,Male,student297@gmail.com
298,2,97,74,97,60,65,90,97,Good,Female,student298@gmail.com
299,2,81,92,94,77,84,63,64,Good,Female,student299@gmail.com
300,20,88,60,81,85,87,90,76,Good,Female,student300@gmail.com
301,11,76,82,70,72,78,60,81,Good,Female,student301@gmail.com
302,26,77,62,97,82,74,98,95,Good,Female,student302@gmail.com
303,22,89,81,99,71,67,74,89,Good,Male,student303@gmail.com
304,12,65,69,66,65,90,76,60,Good,Female,student304@gmail.com
305,4,82,55,76,63,70,61,60,Average,Male,student305@gmail.com
306,34,77,60,61,91,62,78,91,Good,Female,student306@gmail.com
307,9,66,70,88,70,62,70,75,Good,Male,student307@gmail.com
308,43,90,96,100,87,100,90,89,Excellent,Female,student308@gmail.com
309,1,73,87,90,96,61,61,76,Good,Female,student309@gmail.com
310,19,89,64,74,97,95,77,88,Good,Male,student310@gmail.com
311,2,72,55,54,62,75,79,96,Average,Female,student311@gmail.com
312,34,87,90,89,88,93,87,70,Excellent,Female,student312@gmail.com
313,31,75,98,96,85,81,69,90,Good,Female,student313@gmail.com
314,11,80,85,98,99,92,70,96,Good,Female,student314@gmail.com
315,35,85,87,87,90,91,91,99,Excellent,Male,student315@gmail.com
316,20,92,93,74,76,79,65,74,Good,Male,student316@gmail.com
317,22,63,60,92,88,90,68,100,Good,Male,student317@gmail.com
318,2,99,99,87,80,89,78,87,Good,Female,student318@gmail.com
319,1,87,88,51,96,77,71,61,Good,Male,student319@gmail.com
320,34,87,84,62,76,89,83,93,Good,Male,student320@gmail.com
321,17,90,75,71,64,97,89,88,Good,Male,student321@gmail.com
322,34,94,83,99,100,94,91,69,Excellent,Male,student322@gmail.com
323,25,86,76,81,83,81,70,65,Good,Male,student323@gmail.com
324,8,96,81,95,78,79,65,86,Good,Female,student324@gmail.com
325,4,75,69,85,73,79,93,74,Good,Male,student325@gmail.com
326,26,74,92,81,79,74,85,86,Good,Female,student326@gmail.com
327,13,96,91,96,69,70,99,70,Good,Male,student327@gmail.com
328,4,79,77,62,98,76,99,82,Good,Female,student328@gmail.com
329,27,70,88,60,68,66,82,60,Good,Male,student329@gmail.com
330,32,79,91,62,87,80,65,94,Good,Female,student330@gmail.com
331,25,91,65,86,66,88,85,60,Good,Female,student331@gmail.com
332,13,90,72,78,61,78,88,74,Good,Male,student332@gmail.com
333,31,87,100,86,60,80,78,96,Good,Male,student333@gmail.com
334,8,69,99,78,85,98,86,73,Good,Female,student334@gmail.com
335,0,66,99,50,62,97,60,84,Good,Female,student335@gmail.com
336,6,65,95,78,65,74,69,63,Good,Male,student336@gmail.com
337,7,83,81,88,82,97,83,74,Good,Male,student337@gmail.com
338,32,100,89,95,63,67,92,75,Good,Female,student338@gmail.com
339,30,85,70,78,66,69,62,100,Good,Male,student339@gmail.com
340,4,45,98,95,66,84,83,100,Good,Male,student340@gmail.com
341,15,73,75,94,82,71,90,75,Good,Male,student341@gmail.com
342,2,95,83,96,97,72,77,61,Good,Female,student342@gmail.com
343,32,96,95,61,72,71,83,96,Good,Female,student343@gmail.com
344,24,94,72,96,93,93,79,64,Good,Female,student344@gmail.com
345,18,92,69,69,60,90,88,95,Good,Female,student345@gmail.com
346,5,56,52,76,95,54,59,85,Average,Male,student346@gmail.com
347,24,85,74,65,76,100,95,68,Good,Male,student347@gmail.com
348,16,65,90,68,99,74,82,86,Good,Male,student348@gmail.com
349,15,64,81,95,87,86,91,80,Good,Male,student349@gmail.com
350,26,100,88,94,67,62,66,96,Good,Female,student350@gmail.com
351,15,76,64,64,60,75,92,61,Good,Male,student351@gmail.com
352,5,97,76,91,76,89,60,85,Good,Female,student352@gmail.com
353,14,95,98,98,83,77,93,83,Good,Male,student353@gmail.com
354,1,85,64,90,94,68,97,61,Good,Male,student354@gmail.com
355,10,86,91,96,60,91,73,88,Good,Male,student355@gmail.com
356,5,100,58,58,100,60,52,82,Good,Female,student356@gmail.com
357,26,65,77,66,100,88,77,62,Good,Male,student357@gmail.com
358,26,71,81,99,74,74,82,67,Good,Male,student358@gmail.com
359,14,80,94,97,83,84,77,79,Good,Male,student359@gmail.com
360,21,91,76,96,77,99,64,83,Good,Female,student360@gmail.com
361,32,91,87,88,82,95,70,87,Good,Female,student361@gmail.com
362,30,100,86,81,100,66,98,97,Excellent,Female,student362@gmail.com
363,13,92,79,71,65,99,91,98,Good,Female,student363@gmail.com
364,33,89,76,95,83,84,96,61,Good,Female,student364@gmail.com
365,15,93,92,92,76,49,93,75,Good,Female,student365@gmail.com
366,33,81,64,67,74,65,94,96,Good,Male,student366@gmail.com
367,11,70,73,70,67,96,86,89,Good,Female,student367@gmail.com
368,30,61,70,89,97,60,79,79,Good,Male,student368@gmail.com
369,2,62,53,78,77,59,95,80,Good,Male,student369@gmail.com
370,4,83,61,79,99,66,60,76,Good,Female,student370@gmail.com
371,32,85,96,87,63,69,69,81,Good,Male,student371@gmail.com
372,0,83,55,87,74,73,77,61,Good,Female,student372@gmail.com
373,4,73,95,54,94,99,58,94,Good,Male,student373@gmail.com
374,0,61,65,73,78,77,97,96,Good,Male,student374@gmail.com
375,21,77,72,81,63,69,73,80,Good,Female,student375@gmail.com
376,29,77,87,65,91,71,90,90,Good,Female,student376@gmail.com
377,32,99,94,94,62,68,79,68,Good,Male,student377@gmail.com
378,14,73,69,94,78,76,63,71,Good,Female,student378@gmail.com
379,25,95,89,96,89,60,99,93,Good,Female,student379@gmail.com
380,4,94,79,92,100,93,63,98,Good,Male,student380@gmail.com
381,32,75,83,85,65,76,94,60,Good,Male,student381@gmail.com
382,7,66,83,77,91,84,74,62,Good,Female,student382@gmail.com
383,22,91,79,89,74,79,74,61,Good,Female,student383@gmail.com
384,3,81,61,75,65,90,92,80,Good,Female,student384@gmail.com
385,1,71,69,69,67,70,78,66,Good,Male,student385@gmail.com
386,23,77,94,97,77,63,98,98,Good,Male,student386@gmail.com
387,42,91,87,93,85,98,85,95,Excellent,Male,student387@gmail.com
388,30,83,98,100,93,100,77,76,Excellent,Male,student388@gmail.com
389,1,75,51,70,84,66,64,88,Average,Male,student389@gmail.com
390,17,86,96,68,71,86,94,89,Good,Female,student390@gmail.com
391,48,86,88,89,89,98,89,96,Excellent,Female,student391@gmail.com
392,24,85,67,60,82,77,72,72,Good,Male,student392@gmail.com
393,31,62,81,80,88,78,94,85,Good,Male,student393@gmail.com
394,0,100,65,67,61,76,58,84,Good,Female,student394@gmail.com
395,2,79,86,97,60,66,74,96,Good,Male,student395@gmail.com
396,24,99,97,68,85,86,85,73,Good,Male,student396@gmail.com
397,2,46,65,97,100,56,73,95,Good,Male,student397@gmail.com
398,32,85,97,88,61,80,80,84,Good,Female,student398@gmail.com
399,4,85,68,89,64,79,66,66,Good,Male,student399@gmail.com
400,32,85,87,91,63,95,88,62,Good,Female,student400@gmail.com
401,16,99,86,90,100,96,77,60,Excellent,Female,student401@gmail.com
402,20,84,92,63,91,89,92,76,Good,Male,student402@gmail.com
403,28,85,72,87,72,68,85,78,Good,Female,student403@gmail.com
404,30,100,79,92,92,67,68,72,Good,Male,student404@gmail.com
405,17,86,61,68,91,60,86,62,Good,Female,student405@gmail.com
406,25,79,70,71,95,79,77,68,Good,Male,student406@gmail.com
407,18,76,82,76,71,70,89,76,Good,Male,student407@gmail.com
408,23,96,63,69,67,69,92,77,Good,Female,student408@gmail.com
409,23,100,77,75,74,80,94,74,Good,Male,student409@gmail.com
410,21,88,84,87,97,94,87,85,Good,Male,student410@gmail.com
411,27,96,76,98,89,93,85,75,Excellent,Female,student411@gmail.com
412,14,92,66,96,71,87,89,61,Good,Male,student412@gmail.com
413,37,87,93,99,100,97,92,90,Excellent,Male,student413@gmail.com
414,29,95,82,74,87,36,61,88,Good,Male,student414@gmail.com
415,4,44,76,56,71,66,54,91,Average,Male,student415@gmail.com
416,16,78,89,68,63,81,92,97,Good,Male,student416@gmail.com
417,30,95,78,93,85,48,68,75,Good,Female,student417@gmail.com
418,1,57,56,53,75,98,92,73,Good,Male,student418@gmail.com
